forum,GovSponsored,UniSponsored,EitherUniGov
AISC,1,1,1
UMISC,0,0,0
OAFMC,0,0,0
TISP,0,1,1
IPW,0,0,0
GLMMAISP,0,0,0
ISD,0,0,0
LEWTS,0,0,0
AISW,1,1,1
OIPWG,0,0,0
COPRISM,0,0,0
TISW,1,0,1
NISAWLSS,0,0,0
GLPCAC,1,0,1
EDNAS,0,0,0
OFWPS,0,0,0
GLPCWS,0,0,0
GLHCWS,1,0,1
CSym,0,0,0
OSLS,0,0,0
FMCSS,0,0,0
OPSem,1,0,1
CMMGLCSER,0,0,0
EPAGLRIPM,1,0,1
WHRWG,0,0,0
WLWSRTAC,0,0,0
OPLPM,1,0,1
GLConfer,0,0,0
NCER,0,0,0
LESTF,0,0,0
GLHICST,1,0,1
NCTC-RWS,1,0,1
COACQW,0,0,0
ROWHWG,0,0,0
HHPWG,0,0,0
LELSWG,0,0,0
QMW,0,0,0
HRMWS,0,0,0
CMWS,0,0,0
KSWLS,0,1,1
AAGAM,0,0,0
SWSCE,0,0,0
GLSLGIC,0,0,0
UWSLC,1,0,1
GULIWQW,0,1,1
TGITF,0,0,0
NEORSD-EAC,1,0,1
GIESE,0,1,1
GIWT,0,0,0
GIREPAORD,0,1,1
ASCESSSM,0,0,0
GILIDW,1,0,1
SWWM,1,1,1
GGIW,0,0,0
AWLS,0,0,0
OAIWS,0,0,0
APBPWS,0,0,0
GIWS,1,0,1
OKIRCGGIW,0,0,0
SOCAWMA,0,0,0
CARCRAWP,1,0,1
NOACABD,0,0,0
OHHNSF,0,0,0
CPF-CEE,0,0,0
MWGFF&E,0,0,0
AQYE,0,0,0
NOACA-AQS,0,0,0
NOACA-TS,0,0,0
NOACA-WQS,0,0,0
MORPC-SAC,0,0,0
AMPOVCAWG,0,0,0
AMPOAQWG,0,0,0
GHW,0,0,0
CMAQAW,0,0,0
OSUAAQW,1,0,1
MVAQS,0,1,1
CSAES,0,0,0
FCC-OSPEL,0,0,0
BGSU-PHS,0,1,1
BES,0,1,1
OHDS,0,1,1
NAF,0,0,0
CCAW,0,0,0
MSCCHM,0,0,0
WIAVCCI,1,0,1
FRCCIW,1,0,1
PECWS,0,0,0
CGCCHHW,0,0,0
WRWS,1,0,1
SWC ,0,0,0
BRWPSF,0,0,0
OSWATC,0,0,0
GCLF,0,1,1
NHEC,0,1,1
FCSWP,0,0,0
LSWMEW,1,0,1
ERBW,1,0,1
SWMDS,1,0,1
MVSWS,0,0,0
OSWW,1,0,1
SSWMLTPW,0,0,0
STCP,0,0,0
TSIC,0,0,0
